(0.0, 97.08029197080292)
(0.050000000000000003, 97.08029197080292)
(0.10000000000000001, 97.08029197080292)
(0.15000000000000002, 97.08029197080292)
(0.20000000000000001, 97.08029197080292)
(0.25, 97.08029197080292)
(0.30000000000000004, 97.08029197080292)
(0.35000000000000003, 97.08029197080292)
(0.40000000000000002, 97.08029197080292)
(0.45000000000000001, 97.08029197080292)
(0.5, 97.08029197080292)
(0.55000000000000004, 97.08029197080292)
(0.60000000000000009, 95.62043795620438)
(0.65000000000000002, 95.62043795620438)
(0.70000000000000007, 95.62043795620438)
(0.75, 95.62043795620438)
(0.80000000000000004, 95.62043795620438)
(0.85000000000000009, 83.21167883211679)
(0.90000000000000002, 81.75182481751825)
(0.95000000000000007, 81.75182481751825)
